Accession	Target of assay	Filename	Date released	Date submitted
ENCSR198RHC	ZNF782	ENCFF462RVE	2020-07-08	2020-02-07
ENCSR228ZYW	STAT6	ENCFF861MUF	2020-08-17	2020-02-07
ENCSR540LPD	ZNF839	ENCFF332MPQ	2020-08-17	2020-02-07
ENCSR882YYL	ZNF883	ENCFF189PKJ	2020-08-28	2020-02-06
ENCSR704ENT	ZNF776	ENCFF396ZSB	2020-07-08	2020-02-06
ENCSR052FXA	ZNF33B	ENCFF135VAJ	2020-08-28	2020-02-06
ENCSR517HGZ	ZNF781	ENCFF482XKY	2020-08-28	2020-02-06
ENCSR871VNN	ZNF274	ENCFF823WVL	2020-08-28	2020-02-06
ENCSR233FJO	ZNF280D	ENCFF413OMR	2020-08-28	2020-02-06
ENCSR946RZN	SP2	ENCFF480YAW	2020-08-28	2020-02-06
ENCSR502YME	GLI4	ENCFF802VTG	2020-08-28	2020-02-06
ENCSR026GSW	EGR1	ENCFF603PUS	2020-10-22	2020-02-06
ENCSR127XTZ	HNF1B	ENCFF022QCK	2020-08-28	2020-02-06
ENCSR780OXL	GMEB1	ENCFF004QJZ	2020-08-28	2020-02-06
ENCSR695SLS	ZNF510	ENCFF108PPK	2020-07-08	2020-02-06
ENCSR801SNX	ZNF512B	ENCFF050KYT	2020-08-28	2020-02-06
ENCSR471VAY	ZNF484	ENCFF388IZF	2020-10-22	2020-02-06
ENCSR110BYN	ZNF33A	ENCFF237AST	2020-08-28	2020-02-06
ENCSR635SKD	NFATC3	ENCFF482JEG	2020-08-28	2020-02-06
ENCSR298DSB	ZNF180	ENCFF405YXO	2020-07-08	2020-02-06
ENCSR087HFN	ZNF230	ENCFF854DNO	2020-07-08	2020-02-06
ENCSR563JME	ZNF256	ENCFF612NCS	2020-07-08	2020-02-06
ENCSR647PSR	ZNF687	ENCFF581GZR	2020-08-28	2020-02-06
ENCSR005WGY	ZNF407	ENCFF373JGX	2020-08-28	2020-02-06
ENCSR708KAA	MAFG	ENCFF944IDN	2020-08-28	2020-02-06
ENCSR048WVW	ZNF367	ENCFF236CPT	2020-07-08	2020-02-06
ENCSR387TUH	EEA1	ENCFF217STG	2020-08-28	2020-02-06
ENCSR304NTV	BCL3	ENCFF424FZS	2020-08-28	2020-02-06
ENCSR227PHM	ZNF501	ENCFF322IVF	2020-08-28	2020-02-06
ENCSR964ZJC	ZNF547	ENCFF825WJM	2020-08-28	2020-02-06
ENCSR734WFB	ZNF697	ENCFF385UIF	2020-07-08	2020-02-06
ENCSR837GLU	ZNF232	ENCFF119UOZ	2020-07-08	2020-02-06
ENCSR759KXQ	ZNF337	ENCFF272IPH	2020-08-28	2020-02-06
ENCSR075PWK	ZNF225	ENCFF186RPU	2020-08-17	2019-12-06
ENCSR479WQX	GZF1	ENCFF190LEQ	2020-08-28	2019-12-06
ENCSR025EXJ	IRF5	ENCFF827VMW	2020-08-28	2019-12-06
ENCSR144NTH	RBAK	ENCFF080TIX	2020-08-28	2019-12-06
ENCSR159BTO	ZKSCAN5	ENCFF669MLA	2020-08-28	2019-12-06
ENCSR206BVQ	ZNF786	ENCFF458FBS	2020-08-28	2019-12-06
ENCSR982CFC	NR0B2	ENCFF996LQH	2020-07-08	2019-12-06
ENCSR914HPP	ZNF44	ENCFF624TVT	2020-08-28	2019-12-06
ENCSR601KKB	HMGXB3	ENCFF684UHQ	2020-07-09	2019-12-06
ENCSR793EHQ	HNF4G	ENCFF413UQM	2020-08-17	2019-12-06
ENCSR043VRG	ZNF432	ENCFF748KIJ	2020-06-30	2019-12-06
ENCSR862VDD	ZIK1	ENCFF009LDQ	2020-06-30	2019-12-06
ENCSR643XPG	ZNF720	ENCFF879KUL	2020-07-09	2019-12-06
ENCSR374MAS	PITX1	ENCFF954EXR	2020-08-28	2019-12-06
ENCSR725QZQ	TIGD3	ENCFF003AMQ	2020-08-28	2019-12-06
ENCSR042BQZ	SMAD9	ENCFF339ZPY	2020-08-28	2019-12-06
ENCSR830FJY	SOX18	ENCFF338YFQ	2020-08-28	2019-12-06
ENCSR613RDS	ZNF619	ENCFF898ZHK	2020-08-17	2019-12-06
ENCSR269MEF	ZBTB44	ENCFF458IBK	2020-07-09	2019-12-06
ENCSR253HUM	ZNF576	ENCFF115ENN	2020-07-08	2019-12-06
ENCSR384SQB	ZNF25	ENCFF706SJT	2020-08-28	2019-12-06
ENCSR697WMX	HIVEP1	ENCFF076ESL	2020-07-08	2019-12-06
