Accession	Target of assay	Filename	Date released	Date submitted
ENCSR487CPI	ZFP64	ENCFF825ROC	2016-11-08	2016-10-28
ENCSR201GGK	NFIL3	ENCFF489SJO	2016-11-08	2016-10-28
ENCSR633OVO	RFX3	ENCFF164JZB	2016-11-08	2016-10-28
ENCSR182QWU	ZNF3	ENCFF230YBC	2017-03-16	2016-10-28
ENCSR826YMT	SMAD4	ENCFF632APE	2016-11-08	2016-10-28
ENCSR553QMC	ZNF7	ENCFF669TCB	2016-11-08	2016-10-28
ENCSR396SOH	ZNF792	ENCFF750QHT	2016-11-08	2016-10-12
ENCSR117CHD	HOMEZ	ENCFF974SGQ	2016-11-08	2016-09-26
ENCSR485OYR	ZBTB25	ENCFF384TZN	2018-02-12	2016-09-26
ENCSR031ING	KDM6A	ENCFF376CUV	2016-11-08	2016-09-26
ENCSR616OSG	KLF11	ENCFF760HXD	2016-11-08	2016-09-26
ENCSR578CXC	ZNF644	ENCFF176ATR	2016-11-08	2016-09-26
ENCSR372JXR	ZNF511	ENCFF612MNU	2016-11-08	2016-07-29
ENCSR125DAD	MLX	ENCFF132AJP	2016-11-08	2016-07-29
ENCSR596FEL	RBPJ	ENCFF762NCU	2018-02-10	2016-07-29
ENCSR586DEH	ZFP1	ENCFF330SXS	2016-11-08	2016-07-29
ENCSR704IGU	ZGPAT	ENCFF339GYF	2016-11-08	2016-07-29
ENCSR569ARC	NFYC	ENCFF061ZIT	2016-11-08	2016-07-29
ENCSR808FFI	ZKSCAN8	ENCFF288NCG	2016-11-08	2016-07-29
ENCSR072GJV	HMG20A	ENCFF156UNQ	2016-11-08	2016-07-29
ENCSR712FAM	ZSCAN9	ENCFF999NWQ	2016-11-08	2016-07-29
ENCSR558OMR	TFDP1	ENCFF373SRR	2016-11-08	2016-07-29
ENCSR665UFC	ZNF639	ENCFF070QDA	2018-02-12	2016-07-29
ENCSR639IIZ	CEBPG	ENCFF951QPJ	2016-11-08	2016-07-29
ENCSR011CIR	ZNF614	ENCFF741QVY	2018-02-10	2016-07-29
ENCSR604UJV	IRF2	ENCFF992KZC	2018-02-10	2016-07-29
ENCSR184SVO	ZBTB26	ENCFF011OPT	2016-11-08	2016-07-29
ENCSR142IGM	CEBPA	ENCFF260FYO	2016-11-08	2016-07-29
ENCSR938ETG	KLF9	ENCFF073UWB	2016-11-08	2016-07-29
ENCSR562POI	THAP11	ENCFF889SYG	2016-11-08	2016-07-29
ENCSR226QQM	NFIA	ENCFF561XGT	2016-11-08	2016-07-29
ENCSR792MZV	MYRF	ENCFF351COM	2018-02-10	2016-07-29
ENCSR925QAW	HMG20B	ENCFF517FAL	2016-11-08	2016-07-29
ENCSR961WLZ	SOX5	ENCFF070XVL	2016-11-08	2016-07-29
ENCSR157CEN	ZNF205	ENCFF978GOF	2018-02-10	2016-07-29
ENCSR096IIB	ETV5	ENCFF712HHN	2018-02-10	2016-07-29
ENCSR662EOU	NR2F1	ENCFF125ABN	2016-11-08	2016-07-29
ENCSR589SNT	TFE3	ENCFF358INM	2016-11-08	2016-07-29
ENCSR092OVN	FOXA3	ENCFF601MBD	2016-11-08	2016-07-29
ENCSR455DOO	RCOR2	ENCFF807WYN	2016-11-08	2016-07-29
ENCSR497JLX	TEAD1	ENCFF128AZO	2016-11-08	2016-07-29
ENCSR745VSQ	GMEB2	ENCFF378GRS	2016-11-08	2016-07-29
ENCSR502GAX	ZNF652	ENCFF170GIQ	2016-11-08	2016-07-29
ENCSR430JGJ	THRB	ENCFF102ZUM	2016-11-08	2016-07-29
ENCSR966PJY	MIXL1	ENCFF831MUI	2016-11-08	2016-07-29
ENCSR757EKM	KLF6	ENCFF290IVM	2016-11-08	2016-07-29
ENCSR269TNX	GABPA	ENCFF652FKO	2016-10-31	2016-07-29
ENCSR528PSI	HLF	ENCFF264GAF	2016-10-12	2016-07-29
ENCSR666QNP	TEAD3	ENCFF314CDT	2016-11-08	2016-07-29
ENCSR765MKZ	DRAP1	ENCFF815SBJ	2016-11-08	2016-07-29
ENCSR009KLQ	KLF16	ENCFF257BGF	2016-11-08	2016-07-29
ENCSR173CTF	ZNF580	ENCFF216VXG	2016-11-08	2016-07-29
ENCSR019NPF	SP5	ENCFF347UBA	2016-11-08	2016-07-29
ENCSR909GJR	MXD3	ENCFF372DFI	2016-11-08	2016-07-29
ENCSR560SEP	RXRB	ENCFF850FVG	2016-11-08	2016-07-29
ENCSR210HBN	IKZF5	ENCFF371LUB	2018-02-12	2016-07-29
ENCSR130VQL	PPARG	ENCFF567JIZ	2016-11-08	2016-07-29
ENCSR462KYU	GABPB1	ENCFF217XUD	2016-11-08	2016-07-29
ENCSR243BPI	ZNF219	ENCFF708ZFL	2021-09-21	2016-04-01
ENCSR260UJI	MBD1	ENCFF510QJE	2016-09-28	2016-03-31
ENCSR253OON	ATF1	ENCFF683OFC	2016-06-14	2016-03-31
ENCSR853ADA	NRF1	ENCFF308STQ	2016-06-13	2016-03-31
ENCSR714YZG	ETV4	ENCFF624RGO	2016-06-13	2016-03-31
ENCSR798IJO	NR2F6	ENCFF131BRD	2016-11-08	2016-03-31
ENCSR988LZG	ARID4B	ENCFF492BXK	2016-11-08	2016-03-31
ENCSR616WEG	HBP1	ENCFF165EYN	2016-06-14	2016-03-31
ENCSR988ZSI	RERE	ENCFF267ADR	2016-11-08	2016-03-31
ENCSR993LMB	TGIF2	ENCFF398TIE	2016-06-14	2016-03-31
ENCSR331ORD	CREB1	ENCFF955MFB	2016-06-14	2016-03-31
ENCSR412ZDC	AHR	ENCFF868LEZ	2018-02-10	2016-03-31
ENCSR819WZE	CBX1	ENCFF566PBY	2016-02-02	2015-12-16
ENCSR656JZL	HHEX	ENCFF836QUB	2016-06-14	2015-12-16
ENCSR849DFF	PBX2	ENCFF700GPU	2016-06-14	2015-12-16
ENCSR444LIN	TCF7	ENCFF715QJD	2016-08-10	2014-12-17
ENCSR590CNM	GATA4	ENCFF154VTV	2016-03-31	2014-12-17
ENCSR000BQI	CEBPB	ENCFF301CNM	2012-02-29	2012-01-23
ENCSR000BQX	NFIC	ENCFF611FIV	2012-02-29	2012-01-23
ENCSR000BVN	ZEB1	ENCFF060IPX	2012-09-10	2012-01-23
ENCSR000BVM	NR2F2	ENCFF804MKP	2012-09-10	2012-01-23
ENCSR000BOT	REST	ENCFF271FEM	2012-02-29	2012-01-23
ENCSR000BID	BHLHE40	ENCFF992EBV	2011-07-18	2011-07-18
ENCSR000BGK	JUND	ENCFF305OER	2011-07-18	2011-07-18
ENCSR000BNT	YY1	ENCFF958OUE	2011-07-18	2011-07-18
ENCSR288ZFV	ATF4	ENCFF266GBP	2020-07-09	2018-01-13
ENCSR928API	RFX1	ENCFF088YXY	2017-11-14	2017-10-23
ENCSR362NWP	ZNF24	ENCFF483YIX	2017-06-26	2017-06-20
ENCSR730TBC	MNT	ENCFF135JMT	2017-06-07	2017-05-31
ENCSR015TKV	BCLAF1	ENCFF022GRJ	2017-05-17	2017-04-12
ENCSR029IBC	ARNT	ENCFF074XQR	2017-01-31	2017-01-26
ENCSR506HXN	TRIM22	ENCFF458VJS	2017-01-27	2016-08-01
ENCSR799GOY	YBX1	ENCFF425AHN	2016-09-01	2016-05-13
ENCSR238QRG	TBX3	ENCFF076WTT	2017-01-31	2016-05-13
ENCSR170DNV	PHB2	ENCFF894XVP	2018-01-26	2016-05-12
ENCSR752NDX	ZNF282	ENCFF866HGW	2018-01-26	2016-03-31
ENCSR278JQG	IKZF1	ENCFF682RGC	2016-06-14	2016-03-31
ENCSR171FUX	FOXK2	ENCFF260APL	2016-04-22	2015-09-29
ENCSR525YFS	ZBTB40	ENCFF748PZH	2016-08-01	2015-09-29
ENCSR523XCR	RNF2	ENCFF052BXQ	2016-06-23	2015-03-13
ENCSR488EES	NFE2L2	ENCFF130LVT	2014-07-07	2014-07-04
ENCSR157CAU	ZKSCAN1	ENCFF293NUD	2014-07-07	2014-07-04
ENCSR101FJU	ZNF384	ENCFF308CTG	2014-07-07	2014-01-30
ENCSR000EDU	MXI1	ENCFF599KZZ	2012-08-20	2012-07-01
ENCSR000EDO	CEBPZ	ENCFF250DNU	2012-05-14	2012-05-14
ENCSR000EDQ	RCOR1	ENCFF022KBD	2012-05-14	2012-05-14
ENCSR000EDP	ARID3A	ENCFF536DJU	2012-05-14	2012-05-14
ENCSR000EEB	MAFK	ENCFF654RRF	2011-10-29	2011-10-29
ENCSR000EET	HSF1	ENCFF682ESJ	2011-10-29	2011-10-29
ENCSR000EEO	SREBF1	ENCFF624HJF	2011-10-29	2011-10-29
ENCSR000EEC	MAFF	ENCFF005YUC	2011-10-29	2011-10-29
ENCSR000EEA	RFX5	ENCFF141FYD	2011-10-29	2011-10-29
ENCSR000EEJ	IRF3	ENCFF619GRL	2011-10-29	2011-10-29
ENCSR801GJU	CBX2	ENCFF598QRD	2018-02-26	2013-10-31
ENCSR000EZO	SREBF2	ENCFF419GHH	2011-10-29	2010-12-02
