k	CS	frac_CS	frac_CS_EF	frac_CS_UF	frac_CS_CF	frac_CS_NCF	frac_CS_RoF
3	{1,2}	0.59375	0.75	0.6315789474	0.7894736842	0.4210526316	0.4210526316
4	{1,3}	0.07421875	0.8063322368	0.2487664474	0.7224506579	0.1513157895	0.1513157895
4	{2,2}	0.01843262	0.5645695364	0.5248344371	0.6043046358	0.1854304636	0.2649006623
4	{1,1,2}	0.09484863	0.8484555985	0.2203989704	0.2976190476	0.1184041184	0.1338481338
5	{1,4}	0.00044748	0.8307626508	0.02168447517	0.6723852298	0.005527782518	0.006526779359
5	{2,3}	0.00001667	0.6723550441	0.1909842476	0.4691654564	0.04558149927	0.0947380181
5	{1,1,3}	0.00006135	0.8517503643	0.09926827787	0.3073991984	0.04032062181	0.05367986398
5	{1,2,2}	0.00002346	0.7155644649	0.1770006351	0.2504366466	0.05462051445	0.09907907272
5	{1,1,1,2}	0.00080245	0.9056250885	0.01784889429	0.03554807096	0.003082558245	0.004382432203
