Accession	Target of assay	Filename	Date released	Date submitted
ENCSR970OJY	TCF3	ENCFF773RNU	2020-07-08	2019-10-28
ENCSR056VMR	FOXJ3	ENCFF567CPM	2020-07-08	2019-10-22
ENCSR257RKC	GATA2	ENCFF772OKO	2020-07-08	2019-07-31
ENCSR454SCH	ZNF7	ENCFF018HWM	2020-07-08	2019-07-31
ENCSR077DKV	CREM	ENCFF324ELP	2014-07-07	2016-09-26
ENCSR760UVO	KLF16	ENCFF488OTN	2016-09-12	2016-07-31
ENCSR713IFY	ZNF146	ENCFF932FVX	2018-03-16	2016-04-01
ENCSR102KIN	ZMYM3	ENCFF117XRE	2016-10-12	2016-03-31
ENCSR757IIU	HMBOX1	ENCFF672ZQW	2016-03-30	2015-03-31
ENCSR948QLZ	CBX1	ENCFF470CSE	2016-02-05	2014-12-17
ENCSR863KUB	TCF7	ENCFF736XUU	2016-01-14	2014-12-17
ENCSR286PCG	ZBED1	ENCFF392INU	2014-07-07	2014-04-04
ENCSR000FCD	SMAD5	ENCFF971YTJ	2014-07-07	2013-10-07
ENCSR000BSO	CREB1	ENCFF193LLN	2012-09-10	2012-01-23
ENCSR000BRS	NR2F2	ENCFF847ZHF	2012-02-29	2012-01-23
ENCSR000BRR	STAT5A	ENCFF187BVL	2012-02-29	2012-01-23
ENCSR000BNV	MEF2A	ENCFF031NTF	2011-07-18	2011-07-18
ENCSR000BKU	YY1	ENCFF074OAM	2011-07-18	2011-07-18
ENCSR000BLO	GABPA	ENCFF489EME	2011-07-18	2011-07-18
ENCSR000BGX	SIX5	ENCFF742ZHT	2011-07-18	2011-07-18
ENCSR000BNN	THAP1	ENCFF823RYG	2011-07-18	2011-07-18
ENCSR000BLI	E2F6	ENCFF831NDQ	2011-07-18	2011-07-18
ENCSR000BKQ	ETS1	ENCFF886BDQ	2011-07-18	2011-07-18
ENCSR000BNL	SP2	ENCFF741FZG	2011-07-18	2011-07-18
ENCSR000BMV	FOSL1	ENCFF004HXL	2011-07-18	2011-07-18
ENCSR000BNK	CTCFL	ENCFF630YVJ	2011-07-18	2011-07-18
ENCSR018MSO	ZNF148	ENCFF283UWH	2017-12-01	2016-04-27
ENCSR462QZZ	ZNF395	ENCFF430IPX	2017-12-04	2016-03-31
ENCSR580IAO	ZNF197	ENCFF987UBO	2016-06-13	2016-03-17
ENCSR448UKK	ZKSCAN8	ENCFF908SNB	2016-06-13	2016-03-17
ENCSR709DRM	E2F5	ENCFF082QHP	2016-06-13	2016-03-15
ENCSR194IJN	ZNF766	ENCFF466PKS	2016-06-13	2016-03-15
ENCSR729HVR	ZNF644	ENCFF773XPT	2016-06-13	2016-03-15
ENCSR257XVY	ZNF83	ENCFF451LLC	2016-06-13	2016-03-15
ENCSR017GBO	TFDP1	ENCFF362JHQ	2016-06-13	2016-03-14
ENCSR189YMA	VEZF1	ENCFF433ERT	2017-11-08	2016-03-14
ENCSR149ZBI	ZNF584	ENCFF005MBI	2016-06-13	2016-03-14
ENCSR011PEI	ZNF175	ENCFF192MEM	2016-06-13	2016-03-14
ENCSR603XLW	ZNF589	ENCFF345IHK	2016-06-13	2016-03-14
ENCSR750LYM	NR2C2	ENCFF263VIC	2016-06-13	2016-03-14
ENCSR440VKE	ADNP	ENCFF739AJO	2016-06-13	2016-03-14
ENCSR847LBF	FOXJ2	ENCFF957CVJ	2016-06-13	2015-04-01
ENCSR000FBC	STAT2	ENCFF943JSO	2011-10-29	2010-12-02
ENCSR000FAI	FOS	ENCFF258PLH	2011-10-29	2010-12-02
ENCSR000EWE	ZNF274	ENCFF742DPO	2011-10-29	2010-12-06
ENCSR000EWL	E2F4	ENCFF064CWA	2011-10-29	2010-12-06
ENCSR000EWN	ZNF263	ENCFF264BDD	2011-10-29	2010-12-06
ENCSR000AVD	CHD7	ENCFF722UJW	2012-08-06	2010-11-16
ENCSR000ATU	CBX2	ENCFF258XBJ	2012-08-06	2010-11-16
ENCSR000DOC	BRF2	ENCFF944LWS	2011-10-29	2010-10-20
ENCSR000DOD	GTF3C2	ENCFF496PIQ	2011-10-29	2010-10-20
ENCSR000DOE	GTF2B	ENCFF987FJR	2011-10-29	2010-10-20
